Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
warrior		The sword is shiny and sharp.			
warrior		The armor is heavy and protective.			
warrior		This person looks brave.			
warrior		They are preparing for battle.			
warrior		The battlefield is in front of them.			
warrior		There are many soldiers around.			
warrior		The sky is dark and cloudy.			
warrior		This is a moment of courage.			
wearing headphones		He is wearing headphones.			
wearing headphones		She is listening to music.			
wearing headphones		The headphones are black.			
wearing headphones		He looks relaxed.			
wearing headphones		She enjoys the sound.			
wearing headphones		The music is loud.			
wearing headphones		He is sitting on a chair.			
wearing headphones		She is smiling while listening.			
wearing headphones		The headphones cover her ears.			
wearing headphones		He is focused on the music.			
misrepresenting		That person is not being honest.			
misrepresenting		They are pretending to be someone they are not.			
misrepresenting		It seems like they are hiding their true feelings.			
misrepresenting		Their smile looks fake.			
misrepresenting		They are saying one thing but doing another.			
misrepresenting		This person is acting two-faced.			
misrepresenting		They are deceiving others with their words.			
misrepresenting		It’s hard to trust someone like that.			
misrepresenting		Their actions do not match their words.			
misrepresenting		This behavior shows a lack of sincerity.			
yawning		The person is yawning.			
yawning		Yawning is a sign of tiredness.			
yawning		He looks bored.			
yawning		He is yawning widely.			
yawning		When you yawn, you open your mouth wide.			
yawning		People often yawn when they are bored.			
yawning		Yawning is something the body needs.			
yawning		That person might be lacking sleep.			
yawning		Yawning is contagious.			
yawning		When I see someone yawn, I want to yawn too.			
greeting		This person is smiling warmly.			
greeting		They are greeting the guests.			
greeting		A smile shows happiness.			
greeting		Welcoming guests is polite.			
greeting		The atmosphere feels friendly.			
greeting		Smiles can make people feel welcome.			
greeting		This greeting is friendly and warm.			
greeting		The person looks approachable.			
greeting		A smile can brighten someone’s day.			
greeting		They are creating a positive environment.			
troublemaking		The person is causing trouble.			
troublemaking		They are making a mess.			
troublemaking		This looks dangerous.			
troublemaking		They are playing with fire.			
troublemaking		It is not safe to play with matches.			
troublemaking		The situation could explode.			
troublemaking		They should be more careful.			
troublemaking		This is a risky game.			
troublemaking		Trouble is coming their way.			
troublemaking		They need to stop now.			
rude		The person is being rude.			
rude		They are using foul language.			
rude		Look at the lewd gestures.			
rude		This is an angry expression.			
rude		The behavior is disrespectful.			
rude		They seem very upset.			
rude		This is not appropriate behavior.			
rude		The person is mocking someone.			
rude		Their gestures are offensive.			
rude		It’s important to stay calm.			
unleashing		The person is holding a leash.			
unleashing		The dog looks very excited.			
unleashing		The wild dog is ready to run.			
unleashing		The leash is slipping from the person's hand.			
unleashing		The person seems to be letting go.			
unleashing		The dog is barking loudly.			
unleashing		The background shows a chaotic scene.			
unleashing		The person looks determined.			
unleashing		The dog is eager to chase.			
unleashing		This moment feels intense and wild.			
geeky		This person loves comics.			
geeky		They are reading a comic book.			
geeky		The comic book has colorful pictures.			
geeky		They collect action figures.			
geeky		The dolls are neatly arranged.			
geeky		This hobby is very fun.			
geeky		They enjoy storytelling.			
geeky		Friends often share comics.			
geeky		Collecting is a popular pastime.			
geeky		Being a geek is cool!			
sympathetic		The person looks kind.			
sympathetic		They are listening carefully.			
sympathetic		Their expression shows understanding.			
sympathetic		They offer comfort to someone in need.			
sympathetic		The person has a gentle smile.			
sympathetic		They are giving a hug.			
sympathetic		This is a moment of support.			
sympathetic		The person is showing empathy.			
sympathetic		They are there to help.			
sympathetic		It’s important to be sympathetic.			
eluding		He is hiding from the police.			
eluding		She is staying low to avoid being seen.			
eluding		The man is in a dark corner.			
eluding		She wears a hat to cover her face.			
eluding		He is watching carefully for danger.			
eluding		She moves quietly through the shadows.			
eluding		He is trying to blend in with the crowd.			
eluding		She looks nervous but determined.			
eluding		He is waiting for the right moment to escape.			
eluding		She knows how to stay out of sight.			
serious		The person looks serious.			
serious		His expression is heavy.			
serious		He seems lost in thought.			
serious		There is tension in his face.			
serious		He is not smiling.			
serious		His gaze is intense.			
serious		This moment seems important.			
serious		He is worried about some problem.			
serious		His emotions are not showing.			
serious		He has a serious attitude.			
blasting		The person looks very angry.			
blasting		They are unleashing their power.			
blasting		Thunderbolts are flying from their hands.			
blasting		You can see the intensity in their eyes.			
blasting		The atmosphere feels tense and charged.			
blasting		They seem ready to unleash chaos.			
blasting		Their expression shows pure fury.			
blasting		The ground trembles with their energy.			
